,Station,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,Total Sessions,Total Connection Time,Total Amount,Total kWh
164,AUI-10365,34.23246719999999,-118.5798093,91311,6037113421,0.21249191805739687,29.0,0.5301759133964817,61228.0,4,1:09,0.0,8.341000000000001
165,AUI-10379,34.15992720000001,-118.36975120000001,91601,6037125501,0.2259276502635271,33.0,0.2662860980523841,47227.0,48,275:09,0.0,591.758
166,AUI-10391,34.26105,-118.417258,91331-2536,6037104610,0.20786368135872973,29.0,1.3330029732408326,60320.0,6,5:18,0.0,17.921
167,AUI-10381,33.9333653,-118.37237240000002,90045,6037980028,,,,,15,49:25,0.0,161.906
168,AUI-10357,34.0296115,-118.4149102,90034,6037269904,-0.18333397210273955,24.0,0.02044989775051125,68865.0,3,2:19,0.0,15.235
169,AUI-10340,34.1478861,-118.42222360000001,91604,6037143902,-0.5915809556275726,32.0,0.5143769968051118,120781.0,30,167:36,0.0,739.563
170,AUI-10344,34.1474861,-118.42091440000002,91604,6037143902,-0.5915809556275726,32.0,0.5143769968051118,120781.0,12,90:47,0.0,208.53599999999997
171,AUI-10384,34.1998776,-118.55378780000001,91335,6037133000,0.01226493593819955,34.0,1.0476190476190477,67782.0,20,50:07,0.0,155.939
172,AUI-10358,34.1500812,-118.42087479999999,91423,6037143500,0.20431671504928,33.0,0.28365515365787325,91563.0,15,52:03,0.0,127.04
173,AUI-10361,34.1601042,-118.3711679,91602,6037125401,-0.04515285305478872,37.0,0.2018575851393189,59824.0,14,24:06,0.0,155.627
174,AUI-10362,34.05281000000001,-118.30516999999999,90005,6037213201,0.8854001498041876,34.0,0.1654551748009692,30335.0,8,9:17,0.0,58.476000000000006
175,AUI-10359,33.9368695,-118.28284099999999,90061,6037241202,1.3547828404168265,37.0,0.6640816326530612,40596.0,2,0:03,0.0,0.307
176,AUI-10261,34.06047,-118.23768899999999,90012,6037207102,0.3865339685589967,29.0,0.07740324594257178,26327.0,136,213:23,12.37,1049.059
